date,apprehended,cbp_custody,transferred_out_cbp,hhs_care,discharged,transfer_efficiency_ratio,discharge_effectiveness,throughput_rate_30d,net_hhs_flow,backlog_accum,imbalance_flag,streak_id,weekday,is_weekend,year_month,discharge_roll_mean_30d,discharge_roll_std_30d,discharge_cv_30d,discharge_7d_avg,pct_drop_vs_7d
2023-01-12,33.0,53.0,34.0,6566,436.0,0.6415094339622641,0.06640268047517514,,-402.0,-402.0,False,1,Thursday,False,2023-01,,,,,
2023-01-22,32.0,49.0,39.0,7122,227.0,0.7959183673469388,0.031873069362538614,,-188.0,-590.0,False,1,Sunday,True,2023-01,,,,,
2023-01-23,32.0,50.0,39.0,7280,181.0,0.78,0.02486263736263736,,-142.0,-732.0,False,1,Monday,False,2023-01,,,,,
2023-01-24,47.0,42.0,47.0,7433,175.0,1.119047619047619,0.023543656666218216,,-128.0,-860.0,False,1,Tuesday,False,2023-01,,,,,
2023-01-25,20.0,22.0,41.0,7538,180.0,1.8636363636363635,0.02387901300079597,,-139.0,-999.0,False,1,Wednesday,False,2023-01,,,,,
2023-01-29,23.0,45.0,11.0,7472,303.0,0.24444444444444444,0.04055139186295503,,-292.0,-1291.0,False,1,Sunday,True,2023-01,,,,,
2023-01-30,34.0,54.0,29.0,7743,196.0,0.5370370370370371,0.025313186103577426,,-167.0,-1458.0,False,1,Monday,False,2023-01,,,,,
2023-01-31,26.0,36.0,36.0,7803,158.0,1.0,0.020248622324746893,,-122.0,-1580.0,False,1,Tuesday,False,2023-01,,,,242.57142857142858,-0.34864546525323914
2023-02-01,25.0,32.0,27.0,7903,231.0,0.84375,0.029229406554472984,,-204.0,-1784.0,False,1,Wednesday,False,2023-02,,,,202.85714285714286,0.13873239436619716
2023-02-02,15.0,13.0,23.0,7879,298.0,1.7692307692307692,0.03782205863688285,,-275.0,-2059.0,False,1,Thursday,False,2023-02,,,,203.42857142857142,0.4648876404494383
2023-02-05,16.0,18.0,15.0,7586,342.0,0.8333333333333334,0.04508304771948326,,-327.0,-2386.0,False,1,Sunday,True,2023-02,,,,220.14285714285714,0.5535366645035691
2023-02-06,11.0,22.0,12.0,7720,196.0,0.5454545454545454,0.02538860103626943,,-184.0,-2570.0,False,1,Monday,False,2023-02,,,,244.0,-0.19672131147540983
2023-02-07,16.0,20.0,20.0,7855,200.0,1.0,0.025461489497135583,,-180.0,-2750.0,False,1,Tuesday,False,2023-02,,,,246.28571428571428,-0.1879350348027842
2023-02-08,93.0,196.0,169.0,7915,317.0,0.8622448979591837,0.04005053695514845,,-148.0,-2898.0,False,1,Wednesday,False,2023-02,,,,231.57142857142858,0.36890808143121523
2023-02-09,124.0,234.0,161.0,7908,353.0,0.688034188034188,0.044638340920586744,,-192.0,-3090.0,False,1,Thursday,False,2023-02,,,,248.85714285714286,0.4184845005740528
2023-02-12,92.0,203.0,173.0,7434,317.0,0.8522167487684729,0.042641915523271456,,-144.0,-3234.0,False,1,Sunday,True,2023-02,,,,276.7142857142857,0.14558595766649454
2023-02-13,186.0,259.0,172.0,7483,244.0,0.6640926640926641,0.03260724308432447,,-72.0,-3306.0,False,1,Monday,False,2023-02,,,,289.0,-0.15570934256055363
2023-02-14,154.0,225.0,220.0,7794,223.0,0.9777777777777777,0.02861175263022838,,-3.0,-3309.0,False,1,Tuesday,False,2023-02,,,,281.2857142857143,-0.20721178263077702
2023-02-15,91.0,199.0,172.0,7869,290.0,0.864321608040201,0.036853475663997964,,-118.0,-3427.0,False,1,Wednesday,False,2023-02,,,,264.2857142857143,0.09729729729729733
2023-02-16,81.0,213.0,153.0,7793,361.0,0.7183098591549296,0.046323623764917235,,-208.0,-3635.0,False,1,Thursday,False,2023-02,,,,277.7142857142857,0.29989711934156377
2023-02-20,209.0,285.0,184.0,7817,209.0,0.6456140350877193,0.02673659971856211,,-25.0,-3660.0,False,1,Monday,False,2023-02,,,,300.7142857142857,-0.30498812351543947
2023-02-21,184.0,314.0,217.0,7967,213.0,0.6910828025477707,0.02673528304255052,,4.0,-3656.0,True,2,Tuesday,False,2023-02,,,,285.2857142857143,-0.25338007010515773
2023-02-22,107.0,215.0,230.0,7978,232.0,1.069767441860465,0.029079969917272498,,-2.0,-3658.0,False,3,Wednesday,False,2023-02,,,,265.2857142857143,-0.12547119009154548
2023-02-23,101.0,162.0,178.0,7914,386.0,1.0987654320987654,0.04877432398281526,,-208.0,-3866.0,False,3,Thursday,False,2023-02,,,,253.14285714285714,0.5248306997742664
2023-02-26,99.0,190.0,176.0,7609,323.0,0.9263157894736842,0.04244973058220528,,-147.0,-4013.0,False,3,Sunday,True,2023-02,,,,273.42857142857144,0.18129571577847434
2023-02-27,167.0,239.0,166.0,7800,248.0,0.694560669456067,0.031794871794871796,,-82.0,-4095.0,False,3,Monday,False,2023-02,,,,287.7142857142857,-0.13803376365441908
2023-02-28,115.0,216.0,169.0,7896,200.0,0.7824074074074074,0.025329280648429583,,-31.0,-4126.0,False,3,Tuesday,False,2023-02,,,,281.7142857142857,-0.2900608519269777
2023-03-01,84.0,158.0,193.0,7930,307.0,1.2215189873417722,0.03871374527112232,,-114.0,-4240.0,False,3,Wednesday,False,2023-03,,,,258.7142857142857,0.1866372170071783
2023-03-02,130.0,227.0,192.0,7870,335.0,0.8458149779735683,0.042566709021601014,,-143.0,-4383.0,False,3,Thursday,False,2023-03,,,,272.7142857142857,0.22839182818229437
2023-03-07,88.0,214.0,160.0,7859,259.0,0.7476635514018691,0.03295584679984731,3.260780287474333,-99.0,-4482.0,False,3,Tuesday,False,2023-03,264.6666666666667,71.73290176343279,0.27103111497518684,290.14285714285717,-0.1073362875430823
2023-03-08,113.0,208.0,159.0,7885,291.0,0.7644230769230769,0.03690551680405834,3.099403578528827,-132.0,-4614.0,False,3,Wednesday,False,2023-03,259.8333333333333,64.28926189809849,0.24742499768350928,294.0,-0.01020408163265306
2023-03-09,174.0,285.0,150.0,7786,340.0,0.5263157894736842,0.043668122270742356,2.976289047798269,-190.0,-4804.0,False,3,Thursday,False,2023-03,263.6,65.59625725235581,0.24884771340043932,280.42857142857144,0.21242995415180838
2023-03-13,104.0,230.0,206.0,7567,249.0,0.8956521739130435,0.032906039381525046,2.922682301209234,-43.0,-4847.0,False,3,Monday,False,2023-03,265.8666666666667,63.79370487445604,0.23994623197513554,282.85714285714283,-0.11969696969696962
2023-03-14,147.0,276.0,214.0,7810,181.0,0.7753623188405797,0.023175416133162614,2.8214916931778014,33.0,-4814.0,True,4,Tuesday,False,2023-03,266.06666666666666,63.507769458619755,0.23869119064878386,283.0,-0.36042402826855124
2023-03-15,108.0,220.0,213.0,7915,286.0,0.9681818181818181,0.0361339229311434,2.772711690092561,-73.0,-4887.0,False,5,Wednesday,False,2023-03,269.6,61.470261943872316,0.22800542264047594,280.2857142857143,0.02038735983690115
